Identifier,Symbol,CompanyName,ACN,ABN,HomeMarket,GICSSector,GICSIndGrp,ASXSector,ASXSubSector,FormerNames,TradingStatus,ListDate,DelistDate,DelistReason,Address,City,State,Postcode,PhoneNumber,FaxNumber,WebAddress,EmailAddress,ISIN,RegistryId,Template,ASX300
PTA,PTA,Penita Investment Limited ,,,ASX,,,,,,Delisted,18/12/1987,30/06/1992,Following closure of Second Board market,"606 Bank of America Tower, 12 Harcourt Rd",Hong Kong,Hong Kong,,+852 526 2191,+852 810 0502,,,,,indus,0
PTB,PTB,PTB Group Limited,098 390 991,99 098 390 991,ASX,20,2010,11,113,,Delisted,18/12/2006,13/12/2022,"Under Listing Rule 17.2, following lodgement of the Court orders with ASIC approving the scheme of arrangement by which PAG/PTB BidCo Pty Ltd (a wholly owned subsidiary of PAG Holding Corp.) will acquire all of the issued shares in PTB.",22 Orient Ave,Pinkenba,QLD,4008,+61 7 3637 7000 ,+61 7 3260 1185 ,www.pacificturbine.com.au,accounts@pacificturbine.com.au,AU000000PTB9,3976,indus,0
PTE,PTE,Plastech Engineers Limited ,,,ASX,,,,,,Delisted,20/02/1987,24/05/1990,delisted because of liquidation,75-81 Taunton Dr,Cheltenham,VIC,3192,+61 3 584 7155,+61 3 534 8910,,,,4217,indus,0
PTG,PTG,Proptech Group Limited,141 276 959,39 141 276 959,ASX,45,4510,,,"Real Estate Investar Group Limited  (REV ), 13/11/2020",Delisted,10/12/2015,27/02/2023,"In accordance with Listing Rule 17.11, following implementation of the scheme of arrangement between PTG and its shareholders in connection with the acquisition of all the issued capital in PTG by Rockend Technology Pty Limited.","Level 1, 142 Bundall Rd",Bundall,QLD,4217,+61 7 3102 352 ,+61 7 5604 1195 ,www.proptechgroup.io,info@realestateinvestar.com.au,AU0000117814,4736,indus,0
PTG1,PTG1,Petrogulf Resources Limited ,,,ASX,,,,,,Delisted,,2/10/1991,delisted due to failure to pay annual listing fee,"Level 4, 50 Colin St",West Perth,WA,6005,+61 9 321 3733,+61 9 321 3757,,,,4272,indus,0
PTH,PTH,Pathify Holdings Inc,,,ASX,45,4510,,,,Withdrawn Float,,,,251 Little Falls Dr,County of New Castle Delaware,USA,19808,+1 720 456 7182 ,,www.pathify.com/investors,,AU0000210106,4730,indus,0
PTL,PTL,Prestal Holdings Limited,091 035 353,29 091 035 353,ASX,30,3030,10,101,"Symex Holdings Limited (SYM), 17/12/2012; Pental Limited (PTL), 13/11/2023",Trading,29/08/2000,,,1/30 Tarras Ave,Altona North,VIC,3025,+61 3 9251 2311 ,+61 3 9645 3001 ,www.prestal.com.au,enquiries@prestal.com.au,AU000000PTL8,4751,indus,0
PTL1,PTL1,Phoenix Technology Corporation Limited,065 190 392,,ASX,20,2020,22,221, ,Delisted,16/06/1998,30/08/2002,Failure to pay its annual listing fee,"Level 13, 52 Alfred St",Milsons Point,NSW,2061,+61 2 9460 1641,+61 2 9460 1642,www.phoenixtechnology.com,mail@phoenixtechnology.com,,4738,indus,0
PTM,PTM,Platinum Asset Management Limited,050 064 287,13 050 064 287,ASX,40,4020,19,191,,Trading,23/05/2007,,,"Level 8, 7 Macquarie Pl",Sydney,NSW,2000,+61 2 9255 7500 ,+61 2 9254 5555 ,www.platinum.com.au,invest@platinum.com.au,AU000000PTM6,4759,propinvest,1
PTM1,PTM1,Palmer Tube Mills Limited ,010 469 879,,ASX,,,11,111,,Delisted,27/11/1986,26/10/1994,delisted at entity's request following the takeover by Australian National Industries Limited,160 Ingram Rd,Acacia Ridge,QLD,4110,+61 7 246 2600,+61 7 246 2690, ,,,3976,indus,0
PTN,PTN,Patronus Resources Limited,150 597 541,30 150 597 541,ASX,15,1510,,,"Kin Mining NL (KIN), 14/08/2024",Trading,2/10/2013,,,"Level 1, 24 Outram St",West Perth,WA,6005,+61 8 9242 2227 ,+61 8 9242 1277 ,www.patronusresources.com.au,info@patronusresources.com.au,AU0000348823,4756,indus,0
PTN1,PTN1,Prime Retirement and Aged Care Property Trust,ARSN 097 514 746,,ASX,40,4040,20,202,,Delisted,3/08/2007,30/08/2012,delisted following failure to pay annual listing fees in respect of the year ending 30 June 2013,"Level 2, 613 St Kilda Rd",Melbourne,VIC,3004,+61 3 9533 7888,+61 3 9533 7921,www.primetrust.com.au,info@primetrust.com.au,AU000000PTN4,4596,propinvest,0
PTR,PTR,Petratherm Ltd,106 806 884,53 008 172 450,ASX,15,1510,4,47,,Trading,27/07/2004,,,169 Fullarton Rd,Dulwich,SA,5065,+61 8 8133 5000 ,+61 8 8272 8141 ,www.petratherm.com.au,admin@petratherm.com.au,AU000000PTR5,4738,indus,0
PTT,PTT,Perpetual Trustees Tasmania Limited,009 475 610,18 009 475 610,ASX,,,19,194, ,Delisted,12/11/1998,27/12/2001,At the request of the Company following a scheme of arrangement with Tasmanian Perpetual Trustees Limited.,29 Murray St,Hobart,TAS,7000,+61 3 6220 3200,+61 3 6220 3266,www.perpetualtas.com.au,trust@perpetualtas.com.au,,4737,indus,0
PTX,PTX,Prescient Therapeutics Limited,006 569 106,56 006 569 106,ASX,35,3520,21,212,"Rancoo Ltd (RAN), 24/03/1997. Virax Holdings Limited (VHL), 12/12/2014,",Trading,2/01/1992,,,"Suite 2, Level 11, 385 Bourke St",Melbourne,VIC,3000,+61 3 9692 7222 ,+61 3 9077 9233 ,www.ptxtherapeutics.com,,AU000000PTX3,4758,indus,0
PTX1,PTX1,Pacific Matrix Limited,009 296 324,,ASX,45,4520,12,121,"River House Limited (RVH), 03/06/1996.",Delisted,11/03/1993,30/08/2002,Failure to pay its annual listing fee,"Level 24, St. Martins Tower, 44 St. Georges Tce",Perth,WA,6000,+61 8 9221 6733,+61 8 9221 6744,,,,4172,indus,0
PTZ,PTZ,Petroz NL,008 468 568,,ASX,,,4,41,"Offshore Oil NL, 03/12/1986.",Delisted,7/07/1980,16/11/2001,Removed from the official list at the request of the Company,"Level 1, HPPL House, 28-42 Ventnor St",West Perth,WA,6005,+61 8 9423 6664,+61 8 9423 6764,www.petroz.com.au,petroz@petroz.com.au,,4025,indus,0
PUA,PUA,Peak Minerals Limited,072 692 365,74 072 692 365,ASX,15,1510,1,12,"Hill End Gold Limited (HEG), 02/11/2018; Pure Alumina Limited (PUA), 06/08/2020",Trading,17/07/2003,,,"Suite 23, 513 Hay St",Subiaco,WA,6008,+61 8 6143 6748 ,+61 8 9388 8824 ,www.peakminerals.com.au,admin@peakminerals.com.au,AU0000028763,4758,indus,0
PUR,PUR,Pursuit Minerals Limited,128 806 977,27 128 806 977,ASX,15,1510,2,27,"Riviera Resources Limited (RVE), 05/11/2010; South America Ferro Metals Limited (SFZ), 27/01/2016; Burrabulla Corporation Limite (BUA), 22/08/2017",Trading,10/09/2008,,,"Suite 270B, Level 2, 480 Collins St",Melbourne,VIC,3000,+61 3 9008 6199 ,+61 8 6500 3275 ,www.pursuitminerals.com,info@pursuitminerals.com.au,AU000000PUR3,4756,indus,0
PV1,PV1,Provaris Energy Ltd,109 213 470,53 109 213 470,ASX,10,1010,4,42,"Westralian Gas and Power Limited (WGP), 17/10/2011; Titan Energy Limited (TTE), 03/09/2015; TTE Petroleum Limited (TTE), 01/02/2017;Global Energy Ventures Ltd  (GEV ), 13/05/2022",Suspended,21/03/2005,,,234 George St,Sydney,NSW,2000,+61 2 9127 8250 ,+61 8 6267 8155 ,www.provaris.energy,info@provaris.energy,AU0000222002,4025,indus,0
PVA,PVA,pSivida Corp,ARBN 130 843 177,,ASX,35,3520,21,211,,Delisted,12/06/2008,7/03/2018,"At the request of the Company, under listing rule Listing Rule 17.11, and outlined in the Company's announcement dated 4 April 2018.","Suite B300, 480 Pleasant St",Watertown MA,USA,2472,+1 617 9265 000 ,,www.eyepointpharma.com,psivida@psivida.com,AU000000PVA7,4025,indus,0
PVE,PVE,Po Valley Energy Limited,087 741 571,33 087 741 571,ASX,10,1010,4,42,,Trading,14/12/2004,,,"Level 5, 191 St Georges Tce",Perth,WA,6000,+61 8 9316 9100 ,+61 8 9315 5475 ,www.povalley.com,info@povalley.com,AU000000PVE9,4756,indus,0
PVH,PVH,Provender Holdings Limited ,,,ASX,,,,,,Delisted,12/06/1987,18/12/1991,At request of the Company.,"Level 1, Hannaker & Middleton, 37 Queen St",Melbourne,VIC,3000,+61 3 614 5733,+61 3 614 1814,,,,4270,indus,0
PVL,PVL,Powerhouse Ventures Limited,ARBN 612 076 169,,ASX,40,4020,,,,Trading,12/10/2016,,,"Level 1, Awly Building, 287-293 Durham St North",Christchurch Central,New Zealand,8013,+64 3 372 3321 ,,www.phvl.com.au,info@phvl.com.au,NZPVLE0001S6,4754,propinvest,0
PVL1,PVL1,Provalis Plc,,,ASX,35,3520,21,212,,Delisted,11/12/1986,14/06/2002,Pursuant to Listing Rule 17.11,"Level 3, 2 Hazeldean Rd",Christchurch,New Zealand,8024,+64 3 9282 282 ,,www.provalis.com,,,4738,indus,0
PVM,PVM,PMI Gold Corporation,ARBN 146 885 609,,ASX,15,1510,,,,Delisted,21/12/2010,11/02/2014,delisted following completion of the statutory plan of arrangement and approval by the Supreme Court of British Columbia,"level 3, 680 Murray St",West perth,WA,6005,+61 8 6188 7900 ,+61 8 9321 8881 ,www.pmigoldcorp.com,info@pmigoldcorp.com,AU000000PVM2,4025,indus,0
PVM1,PVM1,Pine Vale Investments Limited ,,,ASX,,,,,,Delisted,,19/06/1991,T/O by North Quay Limited,"Level 8, Suite 3, 141 Queen St",Brisbane,QLD,4000,+61 7 221 5911,,,,,4275,indus,0
PVO-NZ,PVO-NZ,ProvencoCadmus Limited,,,NZSE,45,4510,22,226,"Advantage Group Limited (ADV-NZ), 28/03/2003. Provenco Group Ltd (PVO-NZ), 08/05/2008.",Delisted,21/07/1993,15/01/2010,Went into receivership,25 College Hill,Ponsonby,New Zealand,,+64 9 361 0500,+64 9 361 0666,www.provencocadmus.com,info@provencocadmus.com,NZADVE0001S5,4099,indus,0
PVS,PVS,Pivotal Systems Corporation Inc,ARBN 626 346 325,,ASX,45,4530,,,,Delisted,2/07/2018,22/11/2023,"Following PVS's announcement on 21 November 2023 of the completion of its merger with OmegaX,Inc., a California corporation.","Suite 100, 48389 Fremont Blvd",Fremont California,USA,94538,+1 51 0770 9125 ,+1 51 0770 9126 ,www.pivotalsys.com,tduthy@pivotalsys.com,AU0000013468,4730,indus,0
PVT,PVT,Pivotal Metals Limited,623 130 987,49 623 130 987,ASX,15,1510,,,"Rafaella Resources Ltd (RFR), 28/11/2022",Trading,26/07/2018,,,"Level 8, London House, 216 St Georges Tce",Perth,WA,6000,+61 8 9481 0389 ,+61 8 9463 6103 ,www.pivotalmetals.com,info@pivotalmetals.com,AU0000253965,4754,indus,0
PVT1,PVT1,Privest Limited ,,,ASX,,,,,,Delisted,6/08/1987,17/01/1991,delisted following shareholder approval,20 Pelican St,Darlinghurst,NSW,2010,+61 2 261 2033,+61 2 264 9435,,,,4277,indus,0
PVT2,PVT2,Provet Holdings Limited,092 593 774,,ASX,35,3520,21,215,,Delisted,15/03/2010,24/01/2011,"Under listing rule 17.11, following completion of the scheme of arrangement between the Company and Pelican Acquisition Company Pty Ltd, an indirect subsidiary of Henry Schein Inc.",48 Bell-Are Ave,Northgate,QLD,4013,+61 7 3621 6000 ,+61 7 3621 6084 ,www.provet.com.au,,AU000000PVT7,3976,indus,0
PVW,PVW,PVW Resources Limited,124 541 466,,ASX,15,1510,4,42,"Promesa Limited (PRA), 20/06/2016; Thred Limited (THD), 08/02/2021",Trading,12/11/2009,,,"Level 3, 1138 Hay St",West Perth,WA,6005,+61 4 0893 1746 ,+61 8 6323 3351 ,www.pvwresources.com.au,info@pvwresources.com.au,AU0000135188,4739,indus,0
PVW1,PVW1,PVW Resources NL,,,ASX,,,,,,Withdrawn Float,,,,"Level 1, C/O Northern Minerals Ltd, 675 Murray St",West Perth,WA,6005,+61 8 6165 8882 ,,pvwresources.com.au/,info@pvwresources.com.au,AU0000030579,4596,indus,0
PWC-NZ,PWC-NZ,Powerco Limited,,,NZSE,55,5510,4,41,,Delisted,31/03/2004,17/12/2004,At the request of Company,"Level 2, Council Chambers, 84 Liardet Street, New Plymouth",New Plymouth,,,+64 6 759 6200,+64 6 758 6818,www.powerco.co.nz,corporate@powerco.co.nz,,4099,indus,0
PWG,PWG,Primewest,636 344 137,,ASX,60,6010,,,,Delisted,8/11/2019,30/06/2021,"In accordance with Listing Rule 17.4, following despatch of the compulsory acquisition notices by Centuria Capital Limited.","Level 1, 307 Murray St",Perth,WA,6000,+61 8 9321 7133 ,+61 8 9321 7144 ,www.primewest.biz,enquiries@primewest.biz,AU0000062283,4756,propinvest,0
PWH,PWH,PWR Holdings Limited,105 326 850,85 105 326 850,ASX,25,2510,,,,Trading,18/11/2015,,,103 Lahrs Rd,Ormeau,QLD,4208,+61 7 5547 1600 ,+61 7 5547 1666 ,www.pwr.com.au,info@pwr.com.au,AU000000PWH0,4741,indus,1
PWK,PWK,Pipe Networks Limited,,21 099 104 122,ASX,50,5010,22,228,,Delisted,17/05/2005,14/04/2010,Delisted following completion of the scheme of arrangement with TPG Telecom Limited.,"Level 17, PIPE Networks House, 127 Creek St",Brisbane,QLD,4000,+61 7 3233 9800,+61 7 3233 9880,www.pipenetworks.com,info@pipenetworks.com,AU000000PWK4,3976,indus,0
PWL,PWL,Powerwrap Limited,129 756 850,67 129 756 850,ASX,40,4020,,,,Delisted,23/05/2019,7/10/2020,"In accordance with Listing Rule 17.14, following the suspension of PWL's securities under Listing Rule 17.4.","Level 7, 356 Collins St",Melbourne,VIC,3000,+61 3 8681 4600 ,+61 3 8681 4699 ,www.powerwrap.com.au,investorrelations@powerwrap.com.au,AU0000045148,4736,indus,0
PWN,PWN,Parkway Corporate Limited,147 346 334,,ASX,15,1510,,,"Potash West NL (PWN), 08/12/2016; Parkway Minerals NL (PWN), 02/09/2021",Trading,13/05/2011,,,5/45 Bunnett St,Sunshine North,VIC,3020,+61 3 9069 3200 ,+61 8 9475 0847 ,www.pwnps.com,ir@pwnps.com,AU000000PWN8,4754,indus,0
PWR,PWR,Peter Warren Automotive Holdings Limited,615 674 185,57 615 674 185,ASX,25,2550,,,,Trading,27/04/2021,,,13 Hume Hwy,Warwick Farm,NSW,2170,+61 2 9828 8888 ,,www.pwah.com.au,info@pwah.com.au,AU0000143711,4673,indus,0
PWT,PWT,PowerTel Limited,001 760 103,69 001 760 103,ASX,50,5010,18,183,"Carrington Equity Ltd (CGE), 07/10/1994; Spectrum Network Systems Ltd (SNM), 18/08/1998.",Delisted,5/06/1986,22/05/2007,Delisted in accordance with listing rule 17.11.,"Level 11, 55 Clarence St",Sydney,NSW,2000,+61 2 8264 3888,+61 2 8235 3777,www.powertel.com.au,info@powertel.com.au,AU000000PWT5,4738,indus,0
PXA,PXA,PEXA Group Limited,629 193 764,23 629 193 764,ASX,60,6020,,,,Trading,1/07/2021,,,"Level 16, 727 Collins St",Docklands,VIC,3008,+61 3 7002 4500 ,+61 3 9621 2182 ,www.pexa-group.com,info@pexa.com.au,AU0000158594,4673,indus,1
PXG,PXG,Phoenix Gold Limited,140 269 316,,ASX,15,1510,,,,Delisted,22/12/2010,7/01/2016,"in accordance with listing rule 17.14, following the completion of the compulsory acquisition by Evolution Mining Limited of all its shares.","Unit 2, 53 Great Eastern Hwy",Kalgoorlie,WA,6430,+61 8 9021 2704 ,+61 8 9021 3393 ,www.phoenixgold.com.au,info@phoenixgold.com.au,AU000000PXG0,4025,indus,0
PXU1,PXU1,Paxus Corporation Limited ,000 746 994,54 517 367 992,ASX,,,21,215,,Delisted,7/05/1970,26/08/1993,delisted following merger with The Continuum Company Inc.,"Level 9, The Paxus Building, 201 Miller St",North Sydney,NSW,2060,+61 2 959 5166,+61 2 959 4566, ,,,4280,indus,0
PXX,PXX,PolarX Limited,ARBN 161 615 783,,ASX,15,1510,,,"Crescent Resources Corp (CYY), 24/01/2013; Coventry Resources Limited (CYY), 20/09/2017",Trading,21/12/2012,,,215 Hay St,Subiaco,WA,6008,+61 8 9226 1356 ,+61 8 9226 2027 ,www.polarx.com.au,info@polarx.com.au,AU000000PXX5,4025,indus,0
PYC,PYC,PYC Therapeutics Limited,098 391 961,48 098 391 961,ASX,35,3520,21,211,"Phylogica Limited (PYC), 27/11/2019",Trading,30/03/2005,,,6 Verdun St,Nedlands,WA,6009,+61 8 6151 0994 ,+61 8 9315 5475 ,www.pyctx.com,info@pyctx.com,AU000000PYC7,4756,indus,0
PYG,PYG,PayGroup Limited,620 435 038,,ASX,45,4510,,,,Delisted,29/05/2018,29/11/2022,"Under Listing Rule 17.2, following lodgement of the Federal Court of Australia orders with ASIC approving the scheme of arrangement by which Deel Australia Holdings Pty Ltd  will acquire all of the issued shares in PYG.","Level 9, 440 Collins St",Melbourne,VIC,3000,+61 3 8692 7248 ,,www.paygrouplimited.com,webqueriesaux@computershare.com.au,AU0000002743,4737,indus,0
PYR,PYR,Navalo Financial Services Group Limited,605 753 535,24 605 753 535,ASX,40,4020,,,"Payright Limited (PYR), 10/07/2023",Delisted,23/12/2020,31/07/2023,"Under Listing Rule 17.2, at the request of PYR, pending PYR's removal from the official list of ASX.",42 Cambridge St,Collingwood,VIC,3066,,,www.payright.com.au,care@payright.com.au,AU0000118127,4733,indus,0
PYR1,PYR1,Pyrenees Gold Limited ,000 767 466,,ASX,,,4,42,"STRAITS OIL & GAS LTD, 10/02/94",Delisted,10/01/1985,25/08/1995,delisted due to failure to pay annual listing fee,"Suite 636, Level 6, 3 Smail St",Broadway,NSW,2007,+61 2 281 9722 ,+61 2 281 6231 , ,,,4282,indus,0
PYS-NZ,PYS-NZ,PaySauce Limited,,,NZSE,20,2020,,,"Energy Mad Limited (MAD-NZ), 20/12/2018",Trading,19/10/2011,,,85 The Esp,Petone,New Zealand,5012,+64 3 977 0499 ,+64 3 961 9600 ,www.paysauce.com,investor@paysauce.com,NZMADE0001S4,4750,indus,0
PYT,PYT,Property Trust of Australasia,057 884 474,,ASX,,,20,201, ,Delisted,1/10/1987,28/12/2001,Being removed from the official list pursuant to listing Rule 17.11,"Level 46, 80 Collins St",Melbourne,VIC,3000,+61 3 9654 8818,+61 3 9654 8487,,,,4738,propinvest,0
PZC,PZC,Pan Asia Corporation Limited,098 448 269,45 098 448 269,ASX,10,1010,4,45,Sam's Seafood Holdings Limited (SSS) on 27/11/2009,Delisted,21/12/2001,10/04/2019,"At the request of the Company, pending the release of an announcement.","Suite 2, Level 5, 23-25 O'Connell St",Sydney,NSW,2000,+61 2 9233 3308 ,+61 2 9233 3307 ,www.panasiacorp.com.au,info@panasiacorp.com.au,AU000000PZC4,4635,indus,0
PZM,PZM,Piston Machinery Ltd,,,ASX,15,1510,,,,Withdrawn Float,,,,"Suite 23.05, One International Towers, 100 Barangaroo Ave",Sydney,NSW,2000,+61 7 3002 8767 ,,www.zqpst.com,pisitong@163.com,AU000000PZM3,4733,indus,0
QAG,QAG,BetaShares Agriculture ETF-Currency Hedged (Synthetic),,,ASX,,,,,,Delisted,2/12/2011,6/01/2021,In accordance with ASX Operating Rule Schedule 10A.3.1(g) and the Issuer's announcement dated 4 November 2020 regarding the termination of the fund.,"Level 11, 50 Margaret St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU000000QAG6,4730,propinvest,0
QAI,QAI,Queensland Associated Industries Limited ,,,ASX,,,,,,Delisted,,3/10/1990,delisted following appointment of Receivers and Managers; failure to pay annual listing fees,"Acacia Ridge, 163 Ingram Rd",Brisbane,QLD,4110,+61 7 345 4444,+61 7 345 6722,,,,4284,indus,0
QAL,QAL,Qualitas Limited,655 057 588,46 655 057 588,ASX,40,4020,,,,Trading,16/12/2021,,,"Level 41, 101 Collins St",Melbourne,VIC,3000,+61 3 9612 3900 ,,www.qualitas.com.au,info@qualitas.com.au,AU0000195265,4673,indus,0
QAL1,QAL1,Qintex Australia Limited ,,,ASX,,,,,,Delisted,,3/10/1990,delisted following appointment of Receivers and Managers; failure to pay annual listing fees,"Level 29, 12 Creek St",Brisbane,QLD,4000,+61 7 233 3000,+61 7 229 9687,,,,4267,indus,0
QAN,QAN,Qantas Airways Limited,009 661 901,16 009 661 901,ASX,20,2030,14,142, ,Trading,31/07/1995,,,10 Bourke Rd,Mascot,NSW,2020,+61 2 9691 3636 ,+61 2 9490 1888 ,www.qantasnewsroom.com.au,registry@qantas.com,AU000000QAN2,4673,indus,1
QAU,QAU,BetaShares Gold Bullion ETF - Currency Hedged,,,ASX,,,,,"Betashares Gold Bullion ETF (A$ Hedged) (QAU), 30/03/2012",Trading,4/05/2011,,,"Level 46, 180 George St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU000000QAU7,4673,propinvest,0
QBE,QBE,QBE Insurance Group Limited,008 485 014,28 008 485 014,ASX,40,4030,17,171,"QBT Holdings Limited, 25/10/1973.",Trading,30/06/1973,,,"Level 27, 8 Chifley Sq",Sydney,NSW,2000,+61 2 9375 4180 ,+61 2 9375 4884 ,www.qbe.com,investor.relations@qbe.com,AU000000QBE9,4737,insur,1
QBTC,QBTC,Betashares Bitcoin ETF,ARSN 649 677 878,,ASX,40,4020,,,,Trading,20/02/2025,,,"Level 6, 50 Margaret St",Sydney,NSW,2000,+61 2 9290 6888 ,,www.betashares.com.au,info@betashares.com.au,AU0000379943,4673,propinvest,0
QCB,QCB,BetaShares Commodities Basket ETF-Currency Hedged (Synthetic),,,ASX,,,,,,Delisted,15/12/2011,6/01/2021,In accordance with ASX Operating Rule Schedule 10A.3.1(g) and the Issuer's announcement dated 4 November 2020 regarding the termination of the fund.,"Level 11, 50 Margaret St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU000000QCB3,4673,propinvest,0
QCH,QCH,Queensland Cotton Holdings Limited,010 937 541,26 010 944 591,ASX,30,3020,22,224, ,Delisted,2/07/1992,7/08/2007,Delisted pursuant to Listing Rule 17.14.,55 Wyandra St,Newstead,QLD,4006,+61 7 3250 3300,+61 7 3852 1600,www.qcotton.com.au,,AU000000QCH0,4005,indus,0
QCL,QCL,Queensland Cement Limited ,,,ASX,,,,,,Delisted,,21/12/1990,taken over by Holset Pty Limited,4 Station Ave,Darra,QLD,4076,+61 7 375 4161,+61 7 375 3121,,,,4281,indus,0
QCU,QCU,Q Copper Limited,140 409 454,58 140 409 454,ASX,15,1510,1,15,,Withdrawn Float,,,,,,,,,,www.qcopper.com.au,,AU000000QCU3,,indus,0
QDL,QDL,Qdl Limited ,009 658 191,,ASX,,,21,217,,Delisted,31/05/1990,11/09/1996,Removed from the Official List at the request of the Company the directors of the Company,160 Wecker Rd,Mansfield,QLD,4122,+61 7 3212 1610,+61 7 3849 4622, ,,,4281,indus,0
QDX,QDX,Quadrax Investments Limited,,,ASX,,,,,,Delisted,12/01/1989,16/10/1990,delisted due to failure to pay annual listing fee,4-10 Bay St,Double Bay,NSW,2028,+61 2 327 1044,+61 2 323 980,,,,4260,indus,0
QEM,QEM,QEM Limited,167 966 770,13 167 966 770,ASX,15,1510,,,,Trading,19/10/2018,,,"Level 6, 50 Appel St",Surfers Paradise,QLD,4217,+61 7 5646 9553 ,,www.qldem.com.au,info@qldem.com.au,AU0000022246,4756,indus,0
QETH,QETH,Betashares Ethereum ETF,ARSN 654 541 803,,ASX,40,4020,,,,Trading,20/02/2025,,,"Level 6, 50 Margaret St",Sydney,NSW,2000,+61 2 9290 6888 ,,www.betashares.com.au,info@betashares.com.au,AU0000379935,4673,propinvest,0
QEX,QEX,Queensland Petroleum Explorers Trust ,,,ASX,,,,,,Delisted,23/03/1986,2/10/1991,delisted due to failure to pay annual listing fee,"Level 23, 123 Eagle St",Brisbane,QLD,4000,+61 7 839 1049,+61 7 839 9428,,,,4281,indus,0
QEX-NZ,QEX-NZ,QEX Logistics Limited,,,NZSE,20,2030,,,,Delisted,15/02/2018,25/04/2022,QEX will be delisted and its ordinary shares will cease to be quoted from close of business on 22 April 2022.,70 Richard Pearse Dr,Mangere Auckland,New Zealand,2022,+64 9 838 8681 ,,www.qex.co.nz,info@qex.co.nz,,4732,indus,0
QFE,QFE,QuickFee Limited,624 448 693,93 624 448 693,ASX,40,4020,,,,Trading,11/07/2019,,,"Suite 4.07, 10 Century Cct",Baulkham Hills,NSW,2153,+61 2 8090 7700 ,,www.quickfee.com,info@quickfee.com,AU0000049025,4736,indus,0
QFN,QFN,Betashares Australian Financials Sector ETF,139 566 868,78 139 566 868,ASX,40,4020,,,"Betashares S&P/ASX 200 Financials Sector ETF (Synthetic), 11/10/2011; Betashares S&P/ASX 200 Financials Sector ETF (QFN), 08/02/2019",Trading,15/12/2010,,,"Level 46, 180 George St",Sydney,NSW,2000,+61 2 9290 6888 ,+61 2 9262 4950 ,www.betashares.com.au,info@betashares.com.au,AU000000QFN1,4730,propinvest,0
QFX,QFX,Quickflix Limited,102 459 352,62 102 459 352,ASX,25,2550,13,131,,Delisted,27/06/2005,15/02/2017,"delisted from the close of trading on Tuesday, 14 February 2017, pursuant to Listing rule 17.11.","Suite 40, 460 Stirling Hwy",Cottesloe,WA,6011,+61 8 9347 4900 ,+61 8 9347 4901 ,www.quickflix.com.au,investors@quickflix.com.au,AU000000QFX0,4025,indus,0
QGC,QGC,Queensland Gas Company Limited,089 642 553,11 089 642 553,ASX,10,1010,4,42, ,Delisted,28/08/2000,3/04/2009,Company to be removed from Official List pursuant to Listing Rule 17.14,30 Herschel St,Brisbane,QLD,4000,+61 7 3020 9000,+61 7 3012 8411,www.qgc.com.au,qgc@qgc.com.au,AU000000QGC2,3976,indus,0
QGL,QGL,Quantum Graphite Limited,008 101 979,41 008 101 979,ASX,15,1510,,,"Valence Industries Limited (VXL), 13/07/2017",Trading,6/01/2014,,,"Level 5, 349 Collins st",Melbourne,VIC,3000,+61 3 8614 8400 ,,www.quantumgraphite.com,mail@qgraphite.com,AU000000QGL3,4596,indus,0
QHAL,QHAL,VanEck MSCI International Quality (Hedged) ETF,ARSN 631 507 563,,ASX,40,4020,,,"VanEck Vectors MSCI World ex Australia Quality (Hedged) ETF (QHAL), 23/07/2021",Trading,25/03/2019,,,"Suite 2, Level 47, 25 Martin Pl",Sydney,NSW,2000,+61 2 8038 3300 ,,www.vaneck.com.au,info@vaneck.com.au,AU0000041204,4730,propinvest,0
QHL,QHL,Quickstep Holdings Limited,096 268 156,,ASX,20,2010,22,221,Quickstep Holdings Pty Limited (20/02/2003),Delisted,17/10/2005,6/05/2025,"In accordance with Listing Rule 17.11, following implementation of the scheme of arrangement between QHL and its shareholders in connection with the acquisition of all the issued capital in QHL by ASDAM Operations Pty Ltd.",361 Milperra Rd,Bankstown,NSW,2200,+61 2 9774 0300 ,+61 2 9771 0256 ,www.quickstep.com.au,info@quickstep.com.au,AU000000QHL1,4737,indus,0
QHSM,QHSM,VanEck MSCI International Small Companies Quality (AUD Hedged) ETF,ARSN 671 630 041,,ASX,40,4020,,,,Trading,9/11/2023,,,"Suite 2, Level 47, 25 Martin Pl",Sydney,NSW,2000,,,www.vaneck.com.au,enquiries@vaneck.com.au,AU0000302846,4730,propinvest,0
SKW,SKW,Skywest Limited,,51 098 904 262,ASX,20,2030,14,143,,Delisted,23/11/2004,8/09/2006,Delisted in accordance with listing rule 17.14.,"Level 1, Domestic Airport, ",Redcliffe,WA,6104,+61 8 9478 9999,+61 8 9478 9928,www.skywest.com.au,,,4676,indus,0
